merge_kecamatan,Latitude,Longitude
"Sipoholon,Tapanuli Utara,Sumatera Utara",2.0655399,98.8362398
"Panai Tengah,Labuhan Batu,Sumatera Utara",2.3671448,100.085328
"Pulau Rakyat,Asahan,Sumatera Utara",2.7349182,99.520433
"Sei Kepayang,Asahan,Sumatera Utara",2.8168198,99.703538
"Sidamanik,Simalungun,Sumatera Utara",2.8379715,98.8682203
"Siempat Nempu Hilir,Dairi,Sumatera Utara",2.8882941,97.891487
"Sibolga Kota,Sibolga,Sumatera Utara",1.7253804,98.7536617
"Pancuran Gerobak,Sibolga,Sumatera Utara",1.7397455,98.7794506
"Sibolga Selatan,Sibolga,Sumatera Utara",1.7307469,98.7888112
"Aek Muara Pinang,Sibolga,Sumatera Utara",1.72457,98.800275
"Teluk Nibung,Tanjung Balai,Sumatera Utara",2.999161,99.8000079
"Siantar Selatan,Pematang Siantar,Sumatera Utara",2.9482159,99.0572235
"Simalungun,Pematang Siantar,Sumatera Utara",2.9779115,99.100205
"Padang Hilir,Tebing Tinggi,Sumatera Utara",3.3303365,99.1766455
"Padang Merbau,Tebing Tinggi,Sumatera Utara",3.3303365,99.1766455
"Padang Hulu,Tebing Tinggi,Sumatera Utara",3.3008541,99.1393809
"Mekar Sentosa,Tebing Tinggi,Sumatera Utara",3.371422,99.1721915
"Rambutan,Tebing Tinggi,Sumatera Utara",3.3552885,99.1675
"Binjai Kota,Binjai,Sumatera Utara",3.6223245,98.5012039
"Pekan Binjai,Binjai,Sumatera Utara",3.611214,98.4908155
"Ii.X.Xi.Vi.Lingkung,Padang Pariaman,Sumatera Barat",-0.5890275,100.2847225
"V Koto Kp Dalam,Padang Pariaman,Sumatera Barat",-0.484683,100.1481595
"Sungai Limau,Padang Pariaman,Sumatera Barat",-0.515052,100.0751745
"Padang Selatan,Padang,Sumatera Barat",-0.993946,100.2738475
"Lubuk Begalung,Padang,Sumatera Barat",-0.970712,100.4056465
"Padang Panjang Timur,Padang Panjang,Sumatera Barat",-0.4717215,100.4181494
"Padang Panjang Barat,Padang Panjang,Sumatera Barat",-0.46777,100.3863889
"Aur Birugo Tigo Baleh,Bukittinggi,Sumatera Barat",-0.314592,100.3851474
"Payakumbuh Timur,Payakumbuh,Sumatera Barat",-0.2227894,100.6592733
"Payakumbuh Utara,Payakumbuh,Sumatera Barat",-0.208515,100.6394998
"Pedamaran,Ogan Komering Ilir,Sumatera Selatan",-3.4807775,104.9859314
"Muara Enim,Muara Enim,Sumatera Selatan",-3.671901,103.8031289
"Lawang Kidul,Muara Enim,Sumatera Selatan",-3.7805141,103.8328005
"Buay Sandang Aji,Ogan Komering Ulu Selatan,Sumatera Selatan",-4.5440955,103.8911529
"Ilir Barat Ii,Palembang,Sumatera Selatan",-2.9983925,104.7457275
"Ilir Timur Ii,Palembang,Sumatera Selatan",-2.9586659,104.788589
"Prabumulih Timur,Prabumulih,Sumatera Selatan",-3.4324275,104.2794565
"Prabumulih Barat,Prabumulih,Sumatera Selatan",-3.4141915,104.184521
"Balik Bukit,Lampung Barat,Lampung",-5.0189796,104.062284
"Wonosobo,Tanggamus,Lampung",-5.2720379,104.5350445
"Tanjung Karang Pusat,Bandar Lampung,Lampung",-5.4131041,105.2504945
"Tanjung Karang Barat,Bandar Lampung,Lampung",-5.4081645,105.2346096
"Tanjung Karang Timur,Bandar Lampung,Lampung",-5.4124364,105.2694145
"Jagakarsa,Jakarta Selatan,Dki Jakarta",-6.3304165,106.8254635
"Pasar Minggu,Jakarta Selatan,Dki Jakarta",-6.2898155,106.8390761
"Pesanggrahan,Jakarta Selatan,Dki Jakarta",-6.2542969,106.755188
"Mampang Prapatan,Jakarta Selatan,Dki Jakarta",-6.2502849,106.8220155
"Cipayung,Jakarta Timur,Dki Jakarta",-6.327559,106.903068
"Makasar,Jakarta Timur,Dki Jakarta",-6.2709,106.897179
"Kramat Jati,Jakarta Timur,Dki Jakarta",-6.27475,106.865344
"Jatinegara,Jakarta Timur,Dki Jakarta",-6.229275,106.8762175
"Tanah Abang,Jakarta Pusat,Dki Jakarta",-6.2054175,106.8074645
"Menteng,Jakarta Pusat,Dki Jakarta",-6.195169,106.838157
