merge_kecamatan
"Sipoholon,Tapanuli Utara,Sumatera Utara"
"Panai Tengah,Labuhan Batu,Sumatera Utara"
"Pulau Rakyat,Asahan,Sumatera Utara"
"Sei Kepayang,Asahan,Sumatera Utara"
"Sidamanik,Simalungun,Sumatera Utara"
"Siempat Nempu Hilir,Dairi,Sumatera Utara"
"Sibolga Kota,Sibolga,Sumatera Utara"
"Pancuran Gerobak,Sibolga,Sumatera Utara"
"Sibolga Selatan,Sibolga,Sumatera Utara"
"Aek Muara Pinang,Sibolga,Sumatera Utara"
"Teluk Nibung,Tanjung Balai,Sumatera Utara"
"Siantar Selatan,Pematang Siantar,Sumatera Utara"
"Simalungun,Pematang Siantar,Sumatera Utara"
"Padang Hilir,Tebing Tinggi,Sumatera Utara"
"Padang Merbau,Tebing Tinggi,Sumatera Utara"
"Padang Hulu,Tebing Tinggi,Sumatera Utara"
"Mekar Sentosa,Tebing Tinggi,Sumatera Utara"
"Rambutan,Tebing Tinggi,Sumatera Utara"
"Binjai Kota,Binjai,Sumatera Utara"
"Pekan Binjai,Binjai,Sumatera Utara"
"Ii.X.Xi.Vi.Lingkung,Padang Pariaman,Sumatera Barat"
"V Koto Kp Dalam,Padang Pariaman,Sumatera Barat"
"Sungai Limau,Padang Pariaman,Sumatera Barat"
"Padang Selatan,Padang,Sumatera Barat"
"Lubuk Begalung,Padang,Sumatera Barat"
"Padang Panjang Timur,Padang Panjang,Sumatera Barat"
"Padang Panjang Barat,Padang Panjang,Sumatera Barat"
"Aur Birugo Tigo Baleh,Bukittinggi,Sumatera Barat"
"Payakumbuh Timur,Payakumbuh,Sumatera Barat"
"Payakumbuh Utara,Payakumbuh,Sumatera Barat"
"Pedamaran,Ogan Komering Ilir,Sumatera Selatan"
"Muara Enim,Muara Enim,Sumatera Selatan"
"Lawang Kidul,Muara Enim,Sumatera Selatan"
"Buay Sandang Aji,Ogan Komering Ulu Selatan,Sumatera Selatan"
"Ilir Barat Ii,Palembang,Sumatera Selatan"
"Ilir Timur Ii,Palembang,Sumatera Selatan"
"Prabumulih Timur,Prabumulih,Sumatera Selatan"
"Prabumulih Barat,Prabumulih,Sumatera Selatan"
"Balik Bukit,Lampung Barat,Lampung"
"Wonosobo,Tanggamus,Lampung"
"Tanjung Karang Pusat,Bandar Lampung,Lampung"
"Tanjung Karang Barat,Bandar Lampung,Lampung"
"Tanjung Karang Timur,Bandar Lampung,Lampung"
"Jagakarsa,Jakarta Selatan,Dki Jakarta"
"Pasar Minggu,Jakarta Selatan,Dki Jakarta"
"Pesanggrahan,Jakarta Selatan,Dki Jakarta"
"Mampang Prapatan,Jakarta Selatan,Dki Jakarta"
"Cipayung,Jakarta Timur,Dki Jakarta"
"Makasar,Jakarta Timur,Dki Jakarta"
"Kramat Jati,Jakarta Timur,Dki Jakarta"
"Jatinegara,Jakarta Timur,Dki Jakarta"
"Tanah Abang,Jakarta Pusat,Dki Jakarta"
"Menteng,Jakarta Pusat,Dki Jakarta"
"Senen,Jakarta Pusat,Dki Jakarta"
"Johar Baru,Jakarta Pusat,Dki Jakarta"
"Cempaka Putih,Jakarta Pusat,Dki Jakarta"
"Kemayoran,Jakarta Pusat,Dki Jakarta"
"Kembangan,Jakarta Barat,Dki Jakarta"
"Kebon Jeruk,Jakarta Barat,Dki Jakarta"
"Palmerah,Jakarta Barat,Dki Jakarta"
"Grogol Petamburan,Jakarta Barat,Dki Jakarta"
"Tambora,Jakarta Barat,Dki Jakarta"
"Penjaringan,Jakarta Utara,Dki Jakarta"
"Pademangan,Jakarta Utara,Dki Jakarta"
"Koja,Jakarta Utara,Dki Jakarta"
"Megamendung,Bogor,Jawa Barat"
"Ciranjang,Cianjur,Jawa Barat"
"Cikalongkulon,Cianjur,Jawa Barat"
"Dayeuhkolot,Bandung,Jawa Barat"
"Tanjungjaya,Tasikmalaya,Jawa Barat"
"Jamanis,Tasikmalaya,Jawa Barat"
"Waled,Cirebon,Jawa Barat"
"Jatinangor,Sumedang,Jawa Barat"
"Ujung Jaya,Sumedang,Jawa Barat"
"Cimanggung,Sumedang,Jawa Barat"
"Sumedang Selatan,Sumedang,Jawa Barat"
"Balongan,Indramayu,Jawa Barat"
"Juntinyuat,Indramayu,Jawa Barat"
"Jatibarang,Indramayu,Jawa Barat"
"Cipunagara,Subang,Jawa Barat"
"Tegal Waru,Purwakarta,Jawa Barat"
"Cikampek,Karawang,Jawa Barat"
"Cibitung,Bekasi,Jawa Barat"
"Rongga,Bandung Barat,Jawa Barat"
"Padalarang,Bandung Barat,Jawa Barat"
"Batujajar,Bandung Barat,Jawa Barat"
"Cisarua,Bandung Barat,Jawa Barat"
"Cipongkor,Bandung Barat,Jawa Barat"
"Bogor Utara,Bogor,Jawa Barat"
"Bogor Tengah,Bogor,Jawa Barat"
"Bogor Timur,Bogor,Jawa Barat"
"Gunung Puyuh,Sukabumi,Jawa Barat"
"Warudoyong,Sukabumi,Jawa Barat"
"Bandung Kidul,Bandung,Jawa Barat"
"Andir,Bandung,Jawa Barat"
"Kejaksan,Cirebon,Jawa Barat"
"Kesambi,Cirebon,Jawa Barat"
"Adipala,Cilacap,Jawa Tengah"
"Cilacap Utara,Cilacap,Jawa Tengah"
"Kutasari,Purbalingga,Jawa Tengah"
"Mrebet,Purbalingga,Jawa Tengah"
"Pengadegan,Purbalingga,Jawa Tengah"
"Punggelan,Banjarnegara,Jawa Tengah"
"Ambal,Kebumen,Jawa Tengah"
"Loano,Purworejo,Jawa Tengah"
"Kepil,Wonosobo,Jawa Tengah"
"Wonosobo,Wonosobo,Jawa Tengah"
"Garung,Wonosobo,Jawa Tengah"
"Prambanan,Klaten,Jawa Tengah"
"Tasikmadu,Karanganyar,Jawa Tengah"
"Jepon,Blora,Jawa Tengah"
"Jiken,Blora,Jawa Tengah"
"Sarang,Rembang,Jawa Tengah"
"Batangan,Pati,Jawa Tengah"
"Pecangaan,Jepara,Jawa Tengah"
"Welahan,Jepara,Jawa Tengah"
"Tahunan,Jepara,Jawa Tengah"
"Gajah,Demak,Jawa Tengah"
"Suruh,Semarang,Jawa Tengah"
"Tembarak,Temanggung,Jawa Tengah"
"Buaran,Pekalongan,Jawa Tengah"
"Slawi,Tegal,Jawa Tengah"
"Bumijawa,Tegal,Jawa Tengah"
"Kersana,Brebes,Jawa Tengah"
"Bantarkawung,Brebes,Jawa Tengah"
"Magelang Utara,Magelang,Jawa Tengah"
"Jebres,Surakarta,Jawa Tengah"
"Pasar Kliwon,Surakarta,Jawa Tengah"
"Argomulyo,Salatiga,Jawa Tengah"
"Pedurungan,Semarang,Jawa Tengah"
"Tegal Barat,Tegal,Jawa Tengah"
"Wates,Kulon Progo,D I Yogyakarta"
"Pandak,Bantul,D I Yogyakarta"
"Jetis,Bantul,D I Yogyakarta"
"Piyungan,Bantul,D I Yogyakarta"
"Banguntapan,Bantul,D I Yogyakarta"
"Sewon,Bantul,D I Yogyakarta"
"Ponjong,Gunung Kidul,D I Yogyakarta"
"Karangmojo,Gunung Kidul,D I Yogyakarta"
"Gedang Sari,Gunung Kidul,D I Yogyakarta"
"Depok,Sleman,D I Yogyakarta"
"Kotagede,Yogyakarta,D I Yogyakarta"
"Gondokusuman,Yogyakarta,D I Yogyakarta"
"Gondomanan,Yogyakarta,D I Yogyakarta"
"Ngampilan,Yogyakarta,D I Yogyakarta"
"Wirobrajan,Yogyakarta,D I Yogyakarta"
"Jetis,Yogyakarta,D I Yogyakarta"
"Ponorogo,Ponorogo,Jawa Timur"
"Watulimo,Trenggalek,Jawa Timur"
"Ngunut,Tulungagung,Jawa Timur"
"Sumbergempol,Tulungagung,Jawa Timur"
"Nglegok,Blitar,Jawa Timur"
"Sutojayan,Blitar,Jawa Timur"
"Pagu,Kediri,Jawa Timur"
"Pagelaran,Malang,Jawa Timur"
"Sumbermanjing,Malang,Jawa Timur"
"Pakis,Malang,Jawa Timur"
"Jatiroto,Lumajang,Jawa Timur"
"Sukodono,Lumajang,Jawa Timur"
"Patrang,Jember,Jawa Timur"
"Kabat,Banyuwangi,Jawa Timur"
"Tegaldlimo,Banyuwangi,Jawa Timur"
"Maesan,Bondowoso,Jawa Timur"
"Banyuglugur,Situbondo,Jawa Timur"
"Kendit,Situbondo,Jawa Timur"
"Gending,Probolinggo,Jawa Timur"
"Wonoayu,Sidoarjo,Jawa Timur"
"Gedangan,Sidoarjo,Jawa Timur"
"Pungging,Mojokerto,Jawa Timur"
"Mojowarno,Jombang,Jawa Timur"
"Prambon,Nganjuk,Jawa Timur"
"Dagangan,Madiun,Jawa Timur"
"Barat,Magetan,Jawa Timur"
"Kendal,Ngawi,Jawa Timur"
"Rengel,Tuban,Jawa Timur"
"Modo,Lamongan,Jawa Timur"
"Sukorame,Lamongan,Jawa Timur"
"Manyar,Gresik,Jawa Timur"
"Ujungpangkah,Gresik,Jawa Timur"
"Konang,Bangkalan,Jawa Timur"
"Geger,Bangkalan,Jawa Timur"
"Sokobanah,Sampang,Jawa Timur"
"Mojoroto,Kediri,Jawa Timur"
"Kota Kediri,Kediri,Jawa Timur"
"Sukorejo,Blitar,Jawa Timur"
"Mayangan,Probolinggo,Jawa Timur"
"Magersari,Mojokerto,Jawa Timur"
"Sawahan,Surabaya,Jawa Timur"
"Genteng,Surabaya,Jawa Timur"
"Mulyorejo,Surabaya,Jawa Timur"
"Wiyung,Surabaya,Jawa Timur"
"Baturiti,Tabanan,Bali"
"Denpasar Barat,Denpasar,Bali"
"Denpasar Timur,Denpasar,Bali"
"Denpasar Selatan,Denpasar,Bali"
"Nusapenida,Klungkung,Bali"
"Banjarangkan,Klungkung,Bali"
"Bangli,Bangli,Bali"
"Kubu,Karang Asem,Bali"
"Abang,Karang Asem,Bali"
"Kubutambahan,Buleleng,Bali"
"Buleleng,Buleleng,Bali"
"Seririt,Buleleng,Bali"
"Sawan,Buleleng,Bali"
"Gunung Sari,Lombok Barat,Nusa Tenggara Barat"
"Praya,Lombok Tengah,Nusa Tenggara Barat"
"Aikmel,Lombok Timur,Nusa Tenggara Barat"
"Masbagik,Lombok Timur,Nusa Tenggara Barat"
"Sakra,Lombok Timur,Nusa Tenggara Barat"
"Alas,Sumbawa,Nusa Tenggara Barat"
"Kilo,Dompu,Nusa Tenggara Barat"
"Woja,Dompu,Nusa Tenggara Barat"
"Sanggar,Bima,Nusa Tenggara Barat"
"Takisung,Tanah Laut,Kalimantan Selatan"
"Pulau Laut Utara,Kota Baru,Kalimantan Selatan"
"Kelumpang Selatan,Kota Baru,Kalimantan Selatan"
"Mataraman,Banjar,Kalimantan Selatan"
"Tabunganen,Barito Kuala,Kalimantan Selatan"
"Batu Benawa,Hulu Sungai Tengah,Kalimantan Selatan"
"Amuntai Tengah,Hulu Sungai Utara,Kalimantan Selatan"
"Kelua,Tabalong,Kalimantan Selatan"
"Banjarmasin Barat,Banjarmasin,Kalimantan Selatan"
"Banjarmasin Timur,Banjarmasin,Kalimantan Selatan"
"Ponre,Bone,Sulawesi Selatan"
"Ujung Bulu,Bulukumba,Sulawesi Selatan"
"Binamu,Jeneponto,Sulawesi Selatan"
"Somba Opu,Gowa,Sulawesi Selatan"
"Tanete Rilau,Barru,Sulawesi Selatan"
"Lili Riaja,Soppeng,Sulawesi Selatan"
"Takkalalla,Wajo,Sulawesi Selatan"
"Tempe,Wajo,Sulawesi Selatan"
"Maritengngae,Sidenreng Rappang,Sulawesi Selatan"
"Mattiro Bulu,Pinrang,Sulawesi Selatan"
"Mengkendek,Tana Toraja,Sulawesi Selatan"
"Panakkukang,Makassar,Sulawesi Selatan"
"Biring Kanaya,Makassar,Sulawesi Selatan"
"Kolang,Tapanuli Tengah,Sumatera Utara"
"Jorlang Hataran,Simalungun,Sumatera Utara"
"Sibolga Utara,Sibolga,Sumatera Utara"
"Simare-Mare,Sibolga,Sumatera Utara"
"Tanjung Mutiara,Agam,Sumatera Barat"
"Padang Barat,Padang,Sumatera Barat"
"Sungai Geringging,Padang Pariaman,Sumatera Barat"
"Guguk Panjang,Bukittinggi,Sumatera Barat"
"Mandiangin Koto Selayan,Bukittinggi,Sumatera Barat"
"Tanjung Raya,Agam,Sumatera Barat"
"Bekasi Timur,Bekasi,Jawa Barat"
"Sukarami,Palembang,Sumatera Selatan"
"Rambang Kapak Tengah,Prabumulih,Sumatera Selatan"
"Gunung Sugih,Lampung Tengah,Lampung"
"Kebakkramat,Karanganyar,Jawa Tengah"
"Kedaton,Bandar Lampung,Lampung"
"Pondokgede,Bekasi,Jawa Barat"
"Gombong,Kebumen,Jawa Tengah"
"Karangtengah,Cianjur,Jawa Barat"
"Pasar Rebo,Jakarta Timur,Dki Jakarta"
"Bogor Barat,Bogor,Jawa Barat"
"Cigugur,Pangandaran,Jawa Barat"
"Tanggeung,Cianjur,Jawa Barat"
"Medan Denai,Medan,Sumatera Utara"
"Tegal Sari Mandala I,Medan,Sumatera Utara"
"Langkaplancar,Pangandaran,Jawa Barat"
"Tempuran,Karawang,Jawa Barat"
"Garut Kota,Garut,Jawa Barat"
"Cibeunying Kidul,Bandung,Jawa Barat"
"Manonjaya,Tasikmalaya,Jawa Barat"
"Sedong,Cirebon,Jawa Barat"
"Cipatat,Bandung Barat,Jawa Barat"
"Bojongpicung,Cianjur,Jawa Barat"
"Bogor Selatan,Bogor,Jawa Barat"
"Cibinong,Cianjur,Jawa Barat"
"Cikole,Sukabumi,Jawa Barat"
"Buahbatu,Bandung,Jawa Barat"
"Jatiwangi,Majalengka,Jawa Barat"
"Purwokerto Barat,Banyumas,Jawa Tengah"
"Cilongok,Banyumas,Jawa Tengah"
"Tunjungan,Blora,Jawa Tengah"
"Bogorejo,Blora,Jawa Tengah"
"Wonosalam,Demak,Jawa Tengah"
"Temanggung,Temanggung,Jawa Tengah"
"Pekalongan Selatan,Pekalongan,Jawa Tengah"
"Banjarsari,Surakarta,Jawa Tengah"
"Kartasura,Sukoharjo,Jawa Tengah"
"Bawen,Semarang,Jawa Tengah"
"Banyumanik,Semarang,Jawa Tengah"
"Tembalang,Semarang,Jawa Tengah"
"Bendosari,Sukoharjo,Jawa Tengah"
"Bandung Kulon,Bandung,Jawa Barat"
"Gamping,Sleman,D I Yogyakarta"
"Ngemplak,Sleman,D I Yogyakarta"
"Salam,Magelang,Jawa Tengah"
"Ngaglik,Sleman,D I Yogyakarta"
"Purworejo,Purworejo,Jawa Tengah"
